run_id,sequence
1,ABABBB
2,AAAABB
3,BBBBBA
4,ABAAAA
5,BBBABB
6,AAAABA
7,BABABA
8,BAAABB
9,BBBAAA
10,BBABAB
11,AAABAB
12,BABBAA
13,ABBAAB
14,BBBABB
15,ABBAAA
16,BAABAB
17,ABBBAB
18,BBAAAB
19,ABBBBB
20,ABAAAB
21,ABBBAA
22,BAAAAA
23,BBABBA
24,BBAABA
25,BBAABB
26,BAAAAA
27,ABBABA
28,BABBAB
29,ABBBBB
30,BBBBBA
31,BBAAAA
32,BABAAA
33,ABBAAB
34,BBABBA
35,BAAABA
36,BABABA
37,AABBAB
38,BAAAAA
39,BABAAB
40,AABBAB
41,AABABB
42,ABAAAB
43,BBAABB
44,BBAABB
45,AAABAB
46,ABBAAB
47,BBBBBA
48,AAAAAB
49,ABAABA
50,BABBAA
51,ABAABB
52,BBABBB
53,AAAAAB
54,BAABAB
55,BAAABB
56,ABBBAA
57,BBABBA
58,BAABAB
59,BAABBA
60,BABBAB
61,BBBAAA
62,BABBAA
63,AABAAA
64,AABAAB
65,BAABBB
66,BBBBBA
67,ABABAA
68,ABBBAB
69,ABAABA
70,BBABBB
71,BABBBB
72,ABBBAA
73,AABBAB
74,BBBAAB
75,ABBABA
76,BBABAB
77,BBAABA
78,AAAAAB
79,BAAAAB
80,BBBBBA
81,BBBABA
82,AAABAB
83,BBABBB
84,AABAAA
85,ABBBAB
86,AAABAA
87,BAABAA
88,ABAABA
89,BAABAB
90,BAABAB
91,ABAABB
92,ABABBA
93,BABBBA
94,BBABAB
95,BBABAB
96,ABAAAA
97,AAAAAA
98,BBBAAA
99,ABBABB
100,BAABBA
101,AABBBB
102,AABBAA
103,BBABBA
104,AAAABB
105,ABBBBA
106,BBBBAB
107,AABABB
108,BABBAA
109,BAABAA
110,ABBBBB
111,ABBBAB
112,AABBBB
113,BAAABB
114,BAAAAA
115,AABABB
116,BABABA
117,AABBBA
118,ABBBBB
119,ABBBBB
120,ABAAAA
121,ABABAA
122,BABBBA
123,ABBBAB
124,AAABAB
125,ABAABA
126,BAAABA
127,BABAAB
128,BAAABA
129,BBBAAB
130,BBABBB
131,BABAAB
132,ABAABA
133,ABBAAB
134,BAAAAA
135,BBBBAB
136,AAAAAA
137,AABABA
138,BBBAAB
139,ABAABB
